Comment,Toxic,Urdu
Pakistan me ek se ek chutye bhare pade h or inhe kasmir chahiye,1, ??????? ??? ??? ?? ??? ????? ???? ??? ??? ??? ????? ????? ????? 
Kangres party hai hi ghatiya,1, ??????? ????? ?? ?? ????? 
tera title chutyapy wala hy larky ko chup krwa dia dr ne,1, ???? ????? ??????? ???? ?? ???? ?? ?? ???? ??? ????? ?? 
Ye jahil mulla h,1, ?? ???? ??? ??
os waqt tm os k sath tai kia kamene,1, ?? ??? ?? ?? ?? ???? ??? ??? ?????
Jhoot bolna koi In se seekhy,0, ???? ????? ???? ?? ?? ????? 
Unhen hukumat ki janib se har tarah ki support hasil hoti hai,0, ????? ????? ?? ???? ?? ?? ??? ?? ????? ???? ???? ??
han bhai yeh aunty bhi dekh,0, ??? ????? ?? ???? ??? ????
Hahaha itni b pyari ni hai yr wo,0, ?????? ???? ?? ????? ?? ?? ??? ??
Us magermach ne mere dusaman ko caat liya,0, ?? ???????? ?? ???? ??????? ?? ???? ??? 
