Comment,Toxic,Urdu,predicted_label
In hi raston pa chal ka agar aa sako to aaoMaray ghar ka rastay may koi kahkshan nahi hay,0, ان ہی رستوں پا چل کا اگر آ سکو تو آومارای گھر کا رستے مئى کوئی کاحکشان نہیں ہے ,0
Lambi nakh wali acha howa ab ni ati ha boha bad ikhlak,1, لمبی ناک والی اچھا ہوا اب نہیں آتی ہے بوہا بد اخلاق ,0
Tera or Dr shb ka kia muqabla . tum aik idiot ho .,1, تیرا اور ڈاکٹر صاحب کا کیا مقابلہ . تم ایک ایڈیٹ ہو . ,1
Laanat Hy tum jaisay beghairaton pe.,1, لعنت ہے تم جیسے بےغیرتوں پہ . ,0
"--MALE--
Teri choodiyon se sadaa aa rahi hain",0, --میل-- تیری چوڑیوں سے صدا آ رہی ہیں ,0
Zaraye ke mutabiq mastung ke nawahi ilaqay mein honay walay remote control bomb dhamakay ke nateejay mein aik ustaad Abdul Rauf jaan bahaq aur un ka bETA zakhmi ho a hai jisay tibbi imdaad ke liye hospital muntaqil kardiya gaya .,0, ذرائع کے مطابق مستونگ کے نواحی علاقے میں ہونے والے ریموٹ کنٹرول بم دھماکے کے نتیجے میں ایک استاد عبد الرؤوف جان بحق اور ان کا بیٹا زخمی ہو آ ہے جسے طبی امداد کے لیے اسپتال منتقل کر دیا گیا . ,0
Par sabse Pehle apna WhatsApp number send karo main tumhare saath baat karna chahata hoon,0, پر سب سے پہلے اپنا واٹس ایپ نمبر سینڈ کرو میں تمھارے ساتھ بات کرنا چاہتا ہوں ,0
Esko pani daboo kar 3 minat rakha jaye khud pata chal jaye ga k mrta ha k nhi,1, اسکو پانی ڈبو کر 3 منٹ رکھا جائے خود پتہ چل جائے گا کہ مرتا ہے کہ نہیں ,0
Mohammad Azharuddin ko Hyderabad Lok Sabha se muqaabla karne ki khwahish ki thi jahan se saddar majlis ittehaad almslmin Barrister Asadudin Owaisi guzashta do miaadon se bhaari aksariyat se muntakhib hotay arhay hain,0, محمد ازحارودین کو حیدرآباد لوک سبھا سے مقابلہ کرنے کی خواہش کی تھی جہاں سے صدر مجلس اتحاد المسلمین بیرسٹر اسدالدین اویسی گزشتہ دو میعادوں سے بھاری اکثریت سے منتخب ہوتے آرہے ہیں ,1
Bhai intro audio kyu change kar diya!??????,0, بھائی انٹرو آڈیو کیوں چینج کر دیا ! ؟ ؟ ؟ ؟ ؟ ؟ ,0
"Bollywood adakara Raveena Tandon ka kehna hai ke film industry un ki zindagi ka aik hissa hai lekin un ki mukammal zindagi nahi hai. Adakara nay media se baat karte hue kaha ke jab woh filmi duniya se munsalik theen to unhon nay apne kaam ko hamesha 100 feesad tarjeeh di lekin waqt ke sath cheezen aur insan ki tarjeehat badal jati hain aur is waqt un ka khandan un ki pehli tarjeeh hai, unhon nay aik sawal ke jawab mein kaha ke ab woh 90 ki duhaaii wali filmon ka hissa nahi rehna chahti hain woh ab un filmon mein kaam karne ko ziyada tarjeeh dengi jis mein un ke kiye gaye kaam ko yaad rakha jaye.",0, بالی وڈ اداکارہ روینہ ٹنڈن کا کہنا ہے کہ فلم انڈسٹری ان کی زندگی کا ایک حصہ ہے لیکن ان کی مکمل زندگی نہیں ہے . اداکارہ نے میڈیا سے بات کرتے ہوئے کہا کہ جب وہ فلمی دنیا سے منسلک تھیں تو انہوں نے اپنے کام کو ہمیشہ 100 فیصد ترجیح دی لیکن وقت کے ساتھ چیزیں اور انسان کی ترجیحات بدل جاتی ہیں اور اس وقت ان کا خاندان ان کی پہلی ترجیح ہے ، انہوں نے ایک سوال کے جواب میں کہا کہ اب وہ 90 کی دھائی والی فلموں کا حصہ نہیں رہنا چاہتی ہیں وہ اب ان فلموں میں کام کرنے کو زیادہ ترجیح دینگی جس میں ان کے کیے گئے کام کو یاد رکھا جائے . ,0
Ap Dono Khush RahoAap Dono Sukhi RahoDil Ke Har Kone Se Dete Hai BadhaiSaaton Janam Aap Sath Raho,0, آپ دونوں خوش راحوااپ دونوں سکھی راحودیل کے ہر کون سے دیتے ہے بادحایسااتون جنم آپ ساتھ رہو ,0
Chief Secretary Mr,0, چیف سیکرٹری مسٹر ,0
pori dekhna,0, پوری دیکھنا ,0
kutti chod,1, کتی چود ,0
Lakh Lanat budhay. me teri muchon per peshab karoo. aur tu cow mata moot samJh kar piye.,1, لاکھ لعنت بڈھے . میں تیری موچھوں پر پیشاب کروں . اور تو کاؤ ماتا موت سمجھ کر پئے . ,0
Sb bagrat hain,1, سب بیغیرت ہیں ,0
Aqsad Mahmood,0, اقسد محمود ,0
bjp walo ny jumlabaaz kamal k rakhy huey hain.,0, بی جے پی والوں نے جملہ باز کمال کے رکھے ہوئے ہیں . ,0
