Comment,Toxic,Urdu,predicted_label
Ask acha phone hai is price range mein or achi market value hai it's good,0.0, آس سے اچھا فون ہے اس پرائس رنگی میں اور اچھی مارکیٹ ویلیو ہے اٹس گڈ ,0
"Yoon To Humne Lakh Haseen Dekhe Hain
Tumsa Nahin Dekha",0.0, یوں تو ہم نے لاکھ حسین دیکھے ہیں تم سا نہیں دیکھا ,1
Haram khour tu Teri gaand mari kuty ke bachay,1.0, حرام خور تو تیری گانڈ ماری کتی کے بچے ,1
This is for ratings only There is no reality.,0.0, دس از فور ریٹنگز آنلی دیئر از نو ریئلیٹی . ,0
"--MALE--
Jo meri rooh ko chain de, pyaar de
Voh khushi ban gaye ho tum
Zindagi ban gaye ho tum
Zindagi ban gaye ho tum",0.0, --میل-- جو میری روح کو چین دے ، پیار دے وہ خوشی بن گئے ہو تم زندگی بن گئے ہو تم زندگی بن گئے ہو تم ,1
Mujhe iske bare me bataiye,0.0, مجھے اس کے بڑے میں بتائیے ,1
"Khandani zaraye ke mutabiq begum kulsoom ki maiyat London se Lahore muntaqil karne ka faisla kiya gaya hai, inhen jati amra mein supurd e khaak kya jaye ga .",0.0, خاندانی ذرائع کے مطابق بیگم کلثوم کی میت لندن سے لاہور منتقل کرنے کا فیصلہ کیا گیا ہے ، انہیں جاتی امرا میں سپرد خاک کیا جائے گا . ,1
kaisi haseen aaj bahaaron ki raat haiek chaand aasmaan pe hai ek mere saath haio dene waale toone to koi kamee na keeab kiss ko kya mila yeh muqaddar ki baat hai,0.0, کیسی حسین آج بہاروں کی رات حاییک چاند آسمان پہ ہے اک میرے ساتھ حایو دینے والے تو نے تو کوئی کمی نا کییاب کس کو کیا ملا یہ مقدر کی بات ہے ,1
Awsome bhai mazza agaya,0.0, آوسم بھائی مزا آگیا ,1
Dekh tairay pay video bhi bun gayee LOL -,0.0, دیکھ تیرے پے ویڈیو بھی بن گئی لول ء ,1
Gandu Bajaj to TM logon ki Hy hum NY.......,1.0, گانڈو بجاج تو تم لوگوں کی ہے ہم نے . . . . . . . ,0
 iske baad unhein BSF se bar tarf kardiya gaya tha,0.0, اس کے بعد انہیں بی ایس ایف سے بار طرف کر دیا گیا تھا ,1
England mein stadium chotay hain is liye ticketoun ko le kar mara maari honay wali hai,0.0, انگلینڈ میں اسٹیڈیم چھوٹے ہیں اس لئے ٹکٹوں کو لے کر مارا ماری ہونے والی ہے ,1
Hindustan mu-alliq parliament ki simt gaamzan,0.0, ہندوستان معلق پارلیمنٹ کی سمت گامزن ,0
Narye marte hoe sharam bhi nhi ati,0.0, نارے مارتے ہوئے شرم بھی نہیں آتی ,0
"Rok bhi lo ab upni zubaan
varna qayamat hogi yahan
hum bhi qayamat se nahi kam
jaayoge bach ke door kahan
haan hum to bade bade dhoondh ke haare
dhoondh ke laayenge dil ke sahaaare
aap ke dil bhi hai wahe ji waah
khul jaaye ge haal tumpe dil e beqaarar ka
naino se nain milake dekho to zaraaa",0.0, روک بھی لو اب اپنی زبان ورنہ قیامت ہوگی یہاں ہم بھی قیامت سے نہیں کم جاو گی بچ کے دور کہاں ہاں ہم تو بڑے بڑے ڈھونڈ کے ہارے ڈھونڈ کے لائیں گے دل کے سہارے آپ کے دل بھی ہے واہے جی واہ کھل جائے گی حال تم پہ دل بے قارار کا نینوں سے نین مل کے دیکھو تو زرا ,1
Tere jaise bhadwon ki gaand maarna ata h inhe,1.0, تیرے جیسے بھڑووں کی گانڈ مارنا آتا ہے انہیں ,1
Lok Jan Shakti party ke sarbarah Ram vilas paswan ne taweel arsay tak Bihar ke Hajipur ( Mehfooz ) halqay ki numaindagi ki hai,0.0, لوک جان شکتی پارٹی کے سربراہ رام ویلاس پسوان نے طویل عرصے تک بہار کے حاجی پور ( محفوظ ) حلقے کی نمائندگی کی ہے ,1
Un 7 afraad ki giraftari us waqt hui hai jab Amrici qanoon daano ney Yemen mein Saudi arab ki zair-e-qayadat jung mein fouji himayat ke khatmay ke haq mein vote diya,0.0, ان 7 افراد کی گرفتاری اس وقت ہوئی ہے جب امریکی قانون دانوں نے یمن میں سعودی عرب کی زیر قیادت جنگ میں فوجی حمایت کے خاتمے کے حق میں ووٹ دیا ,1
Hahahaha......,0.0, ہاہاہاہا . . . . . . ,0
aaj raat koi bhi muslam quran ko apne takiey ke neechey rakh kar sooy aur natieja daikh ley gande aur daraavne khaa b nazar aay gay,0.0, آج رات کوئی بھی مسلم قرآن کو اپنے تکیے کے نیچے رکھ کر سوئے اور نتیجہ دیکھ لے گندے اور ڈرونے خواب ہی نظر آئے گے اگر ڈاکٹر صاحب کو جواب نہیں آیا تو آپ دے دیتے ,1
"--MALE--
Teri chhaayi hai mujhpe khumaari
Jaana haalat burri hai hamaari",0.0, --میل-- تیری چھائی ہے مجھ پہ خماری جانا حالت بڑی ہے ہماری ,1
"""Doctor sahab mujhe 20 din se tatti nahi aaai"".",1.0," "" ڈاکٹر صاحب مجھے 20 دن سے ٹٹی نہیں آئی "" . ",1
Besahak,0.0, بےشک ,1
aisay mein almstfi university Aima ki tarbiyat aur deegar fikri aur mazhabi sar garmion ke tehat Iran ke taleemi baazu ka kirdaar ada kar rahi hai,0.0, ایسے میں المصطفی یونیورسٹی آئمہ کی تربیت اور دیگر فکری اور مذہبی سر گرمیوں کے تحت ایران کے تعلیمی بازو کا کردار ادا کر رہی ہے ,1
Ji ooo hussainio,0.0, جی وو حوسینیو ,0
DURGA Singh https://youtu.be/zbmRU3bjlNQ plz SUBSCRIBE,0.0, درگا سنگھ https://youtu.be/zbmRU3bjlNQ پلیز سبسکرائب ,1
"Kabhi sawaal Dil meinle kar jawaabDhondne Nikla tha.Main Be'wafaon kiBasti se wafaDhondne Nikla tha.Kya ajab silsala thaun ki muskarahtonkaMain unMuskurahaton parjaaN Denay Nikla tha.Kya andaaz tha uski Mehkti houichahton ka.Jin chahton parmain sub kuch"" Qurbaan ""karne Nikla tha.Jab thokar lagi to ye khayal aayaMain apni hi zindagi Bar'baad karneNikla tha...!!",0.0," کبھی سوال دل مینلی کر جاوابدحوندنی نکلا تھا . میں بے ’ وفاؤں کیباستی سے وافادحوندنی نکلا تھا . کیا عجب سلسلہ تھاون کی مسکاراحتونکاماین انموسکوراحاتون پارجان دینے نکلا تھا . کیا انداز تھا اسکی مہکتی ہوویچاحتون کا . جن چاہتوں پارماین سب کچھ "" قربان "" کرنے نکلا تھا . جب ٹھوکر لگی تو یہ خیال آیاماین اپنی ہی زندگی بار ’ بعد کرنینیکلا تھا . . . ! ! ",1
Dil mera tod diya osne nice song,0.0, دل میرا توڑ دیا اسنے نائس سونگ ,1
 is ke alawa Do muslim  arakeen parliment puhanche hain,0.0, اس کے علاوہ دو مسلم اراکین پارلیمنٹ پہنچے ہیں ,1
Tu apni Chachi chod aur Mai Teri bahan apni awaj suni hai bahan k lovede Madarchod,1.0, تو اپنی چچی چود اور میں تیری بہن اپنی آواز سنی ہے بہن کے لوڑے مادرچود ,1
Falasteeni har Juma ko mashriqi sarhad ki taraf March karte hain,0.0, فلسطینی ہر جمعہ کو مشرقی سرحد کی طرف مارچ کرتے ہیں ,1
bomb ko nakara bananay se qabal bhaari tadaad mein awam ka takhlia karna pada,0.0, بم کو نکارہ بنانے سے قبل بھاری تعداد میں عوام کا تخلیہ کرنا پڑا ,0
"2 % vote hi haasil hue hain, Janata Dal S ko 18",0.0, 2 % ووٹ ہی حاصل ہوئے ہیں ، جنتا دل ایس کو 18 ,1
parcha namzadgi ke liye daakhil halaf nama ke mutabiq Trinamool congress youth wing ke sarbarah Abhishek Banerjee ki ahliya Rujira Banerjee ki manqola jaedad 2014 ke muqablay mein kam hogayi hai,0.0, پرچہ نامزدگی کے لیے داخل حلف نامہ کے مطابق ترنامول کانگریس یوتھ ونگ کے سربراہ ابھیشیک بینرجی کی اہلیہ روجیرا بینرجی کی منقولہ جائیداد 2014 کے مقابلے میں کم ہوگئی ہے ,1
Assalamu Alaikum Dua mein yaad rakhiye ga,0.0, السلام علیکم دعا میں یاد رکھیے گا ,1
 aisa mehsoos hota hai ke ke kanti velugu scheme ke aaghaz par awam ney  jo josh wa-kharosh dekhaya aur hosla afzaa nataij faraham kiye hain ab woh scheme dosray marhalay mein nakaam hoti dikhayi day rahi hai ,0.0, ایسا محسوس ہوتا ہے کہ کے کانتی ویلوجو اسکیم کے آغاز پر عوام نے جو جوش وخروش دکھایا اور حوصلہ افزا نتائج فراہم کیے ہیں اب وہ اسکیم دوسرے مرحلے میں ناکام ہوتی دکھائی دے رہی ہے ,1
Elif bohat pyari Lagti ha,0.0, ایلف بہت پیاری لگتی ہا ,0
Koi chance hai agay jane ka to btao please,0.0, کوئی چانس ہے آگے جانے کا تو بتاؤ پلیز ,1
Bataya jata hai ke DCP ne unhen tayaqqun diya ke woh is ki tehqeeq karenge,0.0, بتایا جاتا ہے کہ ڈی سی پی نے انہیں تیقن دیا کہ وہ اس کی تحقیق کرینگے ,0
Rasio par Iqbal Bano ne usatza ki ghazlen gaane ko tarjeeh di,0.0, راسیو پر اقبال بنو نے اساتذہ کی غزلیں گانے کو ترجیح دی ,1
Achcha h,0.0, اچھا ہے ,0
wakeel difaa ka mazeed kehna hai ke shyoni hakkaam ney Ozkan par islami tehreek muzahmat ( Hamas ) se talluq ka ilzaam Ayad kya hai taham Ozkan ney tamam ilzamaat mustard kardiye hain,0.0, وکیل دفاع کا مزید کہنا ہے کہ صہیونی حکام نے اوزکان پر اسلامی تحریک مزحمت ( حماس ) سے تعلق کا الزام عائد کیا ہے تاہم اوزکان نے تمام الزامات مسترد کردیئے ہیں ,1
"idhar Afghanistan ke shumali soobah Takhar mein Taliban ney zila dasht qilah ke markaz, governor ke compound aur police head quarters par qabza kar liya hai",0.0, ادھر افغانستان کے شمالی صوبہ تخر میں طالبان نے ضلع دشت قلعے کے مرکز ، گورنر کے کمپاؤنڈ اور پولیس ہیڈ کوارٹرز پر قبضہ کر لیا ہے ,1
Ye kutte ka bacha,1.0, یہ کتے کا بچہ ,1
Ha kargil ki maar bhool Gaya ha ye mochar is k foji dabbon me tatti krte bahar b ni jate the gadhe ne khud b etraaf Kia ha,1.0, ہاں کارگل کی مار بھول گیا ہے یہ موچھڑ اس کے فوجی ڈبوں میں ٹٹی کرتے باہر بھی نہیں جاتے تھے گدھے نے خود بھی اعتراف کیا ہے ,1
"aye sanam har janam ka yeh ikraar hain
humko tumse pyar hain - 2
Chorus : humko tumse pyar hain - 2
tumko chaha tha tumko chahenge
waade jo kiye woh nibhaayenge",0.0, آئے صنم ہر جنم کا یہ اقرار ہیں ہم کو تم سے پیار ہیں - 2 چورس : ہم کو تم سے پیار ہیں - 2 تم کو چاہا تھا تم کو چاہیں گے وعدے جو کیے وہ نبھائیں ,1
70 saal guzarnay ke baad duniya bhar mein Falasteeni panah gzinon ki tadaad 53 laakh se tajawaz kar gayi hai,0.0, 70 سال گزرنے کے بعد دنیا بھر میں فلسطینی پناہ گزینوں کی تعداد 53 لاکھ سے تجاوز کر گئی ہے ,1
